Consultas,"12/08/18-8/09/18, Clics","15/07/18-11/08/18, Clics","12/08/18-8/09/18, Impresiones","15/07/18-11/08/18, Impresiones","12/08/18-8/09/18, CTR","15/07/18-11/08/18, CTR","12/08/18-8/09/18, Posición","15/07/18-11/08/18, Posición"
boleto turistico machu picchu,0,14,0,126,0 %,"11,11 %","0,00","2,2"
impuestos en peru 2018,0,14,0,39,0 %,"35,9 %","0,00","1,7"
tours a machupicchu,0,14,0,102,0 %,"13,73 %","0,00","1,9"
festividad de la virgen del carmen,0,14,0,398,0 %,"3,52 %","0,00","7,8"
dia da pachamama,0,14,0,371,0 %,"3,77 %","0,00","5,5"
mistura 2018 peru,0,14,0,59,0 %,"23,73 %","0,00","4,2"
museo santa catalina,0,14,0,90,0 %,"15,56 %","0,00","3,0"
museo inca garcilaso dela vega cusco,0,14,0,45,0 %,"31,11 %","0,00","2,6"
plaza de armas puno historia,0,13,0,28,0 %,"46,43 %","0,00","1,1"
boletos turisticos,0,13,0,30,0 %,"43,33 %","0,00","1,2"
tours al cusco,0,13,0,136,0 %,"9,56 %","0,00","1,8"
cusco valle sur,0,13,0,20,0 %,65 %,"0,00","1,5"
donde comprar entradas a machu picchu en cusco,0,13,0,47,0 %,"27,66 %","0,00","1,2"
atractivos cusco,0,13,0,45,0 %,"28,89 %","0,00","2,3"
historia de la fiesta de san juan,0,13,0,187,0 %,"6,95 %","0,00","7,0"
chinchero peru,0,13,0,299,0 %,"4,35 %","0,00","6,8"
historia de inti raymi,0,13,0,31,0 %,"41,94 %","0,00","1,7"
cuanto cuesta el bus a machu picchu,0,13,0,22,0 %,"59,09 %","0,00","1,9"
inca rail o peru rail,0,13,0,117,0 %,"11,11 %","0,00","5,1"
fortaleza de sacsayhuaman,0,13,0,677,0 %,"1,92 %","0,00","5,1"
cusco city tours,0,13,0,310,0 %,"4,19 %","0,00","3,8"
día de la pachamama,0,13,0,463,0 %,"2,81 %","0,00","8,0"
turismo cusco,0,13,0,563,0 %,"2,31 %","0,00","8,2"
historia de la virgen del carmen paucartambo,0,13,0,35,0 %,"37,14 %","0,00","1,0"
sitios turisticos en cusco,0,13,0,135,0 %,"9,63 %","0,00","3,3"
cusco peru turismo,0,13,0,206,0 %,"6,31 %","0,00","6,2"
boleto turistico cusco precio,0,13,0,24,0 %,"54,17 %","0,00","1,0"
camino del inca,0,12,0,881,0 %,"1,36 %","0,00",10
qual a moeda do peru,0,12,0,575,0 %,"2,09 %","0,00","6,9"
virgen del carmen paucartambo,0,12,0,230,0 %,"5,22 %","0,00","3,6"
el yawar fiesta,0,12,0,133,0 %,"9,02 %","0,00","3,5"
tours machu picchu peru,0,12,0,107,0 %,"11,21 %","0,00",14
la costa peruana,0,12,0,3107,0 %,"0,39 %","0,00",10
sitios arqueologicos de la sierra,0,12,0,70,0 %,"17,14 %","0,00","2,0"
museus em cusco,0,12,0,45,0 %,"26,67 %","0,00","2,0"
iglesia san agustin,0,12,0,176,0 %,"6,82 %","0,00","4,6"
passeio em machu picchu,0,12,0,55,0 %,"21,82 %","0,00","1,9"
conciertos en cusco 2018,0,12,0,35,0 %,"34,29 %","0,00","3,5"
boletos para machu picchu,0,12,0,334,0 %,"3,59 %","0,00","4,9"
peru passeios,0,12,0,55,0 %,"21,82 %","0,00","2,0"
comprar entradas a machu picchu,0,12,0,184,0 %,"6,52 %","0,00","5,9"
tour machupicchu 1 dia economico,0,12,0,144,0 %,"8,33 %","0,00","5,8"
city tour cusco descripcion,0,12,0,64,0 %,"18,75 %","0,00","2,5"
el parque de las leyendas,0,12,0,789,0 %,"1,52 %","0,00","5,7"
festival mistura 2018,0,11,0,30,0 %,"36,67 %","0,00","2,8"
agencias de turismo cusco,0,11,0,135,0 %,"8,15 %","0,00","1,2"
virgen del carmen peru,0,11,0,300,0 %,"3,67 %","0,00","7,1"
viajes a machu picchu,0,11,0,177,0 %,"6,21 %","0,00",19
museo casa garcilaso,0,11,0,45,0 %,"24,44 %","0,00","2,4"
tours from cusco,0,11,0,123,0 %,"8,94 %","0,00","5,4"
mal de altura en cusco,0,11,0,22,0 %,50 %,"0,00","1,4"
horario del parque de las leyendas,0,11,0,441,0 %,"2,49 %","0,00","7,2"
costo del bus para subir a machu picchu,0,11,0,15,0 %,"73,33 %","0,00","1,7"
plaza san martin,0,11,0,3088,0 %,"0,36 %","0,00","3,3"
tours al cuzco,0,11,0,50,0 %,22 %,"0,00","2,0"
iglesia san francisco arequipa,0,11,0,233,0 %,"4,72 %","0,00","3,9"
sitios turisticos cusco,0,11,0,100,0 %,11 %,"0,00","3,2"
virgen del carmen paucartambo historia,0,11,0,23,0 %,"47,83 %","0,00","1,0"
virgen del carmen resumen,0,11,0,202,0 %,"5,45 %","0,00","9,5"
peru rail o inca rail,0,11,0,234,0 %,"4,7 %","0,00","4,9"
como comprar entradas a machu picchu,0,11,0,52,0 %,"21,15 %","0,00","1,6"
iglesia de la merced lima horario,0,11,0,34,0 %,"32,35 %","0,00","2,6"
donde comprar tickets para machu picchu,0,11,0,30,0 %,"36,67 %","0,00","1,0"
qenqo pdf,0,11,0,41,0 %,"26,83 %","0,00","1,0"
centro arqueologico de pisac,0,11,0,28,0 %,"39,29 %","0,00","2,0"
que ver en cusco ciudad,0,11,0,104,0 %,"10,58 %","0,00","6,8"
eventos en cusco hoy,0,11,0,32,0 %,"34,38 %","0,00","2,4"
valle sagrado de los incas mapa,0,10,0,188,0 %,"5,32 %","0,00","3,7"
paquetes para machu picchu,0,10,0,71,0 %,"14,08 %","0,00","4,3"
machu pichu tour,0,10,0,113,0 %,"8,85 %","0,00",13
qorikancha precio,0,10,0,21,0 %,"47,62 %","0,00","1,0"
clima selva peruana,0,10,0,37,0 %,"27,03 %","0,00","1,0"
lugares para visitar en cusco,0,10,0,443,0 %,"2,26 %","0,00","9,4"
atv cusco,0,10,0,94,0 %,"10,64 %","0,00","4,4"
fiestas de cusco 2018,0,10,0,12,0 %,"83,33 %","0,00","1,0"
museo sitio qoricancha,0,10,0,34,0 %,"29,41 %","0,00","1,2"
paisajes de arequipa,0,10,0,639,0 %,"1,56 %","0,00","5,8"
pisac pueblo,0,10,0,40,0 %,25 %,"0,00","2,1"
mal de altura sintomas,0,10,0,168,0 %,"5,95 %","0,00","7,2"
fiestas de cusco,0,10,0,67,0 %,"14,93 %","0,00","2,6"
corpus christi en cusco,0,10,0,43,0 %,"23,26 %","0,00","3,0"
atractivos turisticos cusco,0,10,0,79,0 %,"12,66 %","0,00","3,6"
sierra del peru,0,10,0,1200,0 %,"0,83 %","0,00","9,5"
ollantaytambo pueblo,0,10,0,71,0 %,"14,08 %","0,00","2,5"
iglesia san francisco de asis lima horario de misas,0,10,0,70,0 %,"14,29 %","0,00","7,7"
passeios em cusco,0,10,0,303,0 %,"3,3 %","0,00",10
descripción de las líneas de nazca,0,10,0,39,0 %,"25,64 %","0,00","3,3"
impuestos,0,10,0,1602,0 %,"0,62 %","0,00","8,8"
el valle sagrado de los incas,0,10,0,286,0 %,"3,5 %","0,00","5,4"
guia turistica de cusco pdf,0,10,0,131,0 %,"7,63 %","0,00","6,8"
inca rail o perurail,0,10,0,120,0 %,"8,33 %","0,00","4,9"
turismo vivencial peru,0,10,0,109,0 %,"9,17 %","0,00","5,5"
virgen de puno,0,10,0,64,0 %,"15,62 %","0,00","1,1"
que hacer en cusco peru,0,10,0,178,0 %,"5,62 %","0,00","8,6"
paquetes cusco machu picchu,0,10,0,43,0 %,"23,26 %","0,00","2,5"
qual a moeda peruana,0,10,0,27,0 %,"37,04 %","0,00","1,3"
agencias de turismo en cusco,0,10,0,541,0 %,"1,85 %","0,00","1,0"
sierra peruana clima,0,10,0,57,0 %,"17,54 %","0,00","3,8"
city tour cusco precio,0,10,0,85,0 %,"11,76 %","0,00","4,0"
fiesta del inti raymi resumen,0,10,0,23,0 %,"43,48 %","0,00","3,2"
entrada a machu picchu ministerio de cultura,0,10,0,234,0 %,"4,27 %","0,00","6,6"
museo arte precolombino cusco,0,10,0,36,0 %,"27,78 %","0,00","1,4"
sitios arqueologicos de la ciudad del cusco,0,10,0,60,0 %,"16,67 %","0,00","4,4"
centro arqueologico de tipon,0,10,0,46,0 %,"21,74 %","0,00","2,5"
tour a machu pichu,0,9,0,82,0 %,"10,98 %","0,00","3,5"
festival gastronomico peru 2018,0,9,0,32,0 %,"28,12 %","0,00","2,5"
valle del sur,0,9,0,89,0 %,"10,11 %","0,00","5,0"
costa peruana,0,9,0,2371,0 %,"0,38 %","0,00","9,8"
tour valle sagrado medio dia,0,9,0,21,0 %,"42,86 %","0,00","2,1"
atractivos turisticos en cusco,0,9,0,46,0 %,"19,57 %","0,00","2,9"
boleto turistico cusco parcial,0,9,0,13,0 %,"69,23 %","0,00","1,5"
machu picchu tour desde cusco,0,9,0,29,0 %,"31,03 %","0,00","2,2"
pucapucara,0,9,0,232,0 %,"3,88 %","0,00","3,8"
city tour cuzco,0,9,0,70,0 %,"12,86 %","0,00","4,1"
tour en machupicchu,0,9,0,52,0 %,"17,31 %","0,00","3,0"
impuestos peru 2018,0,9,0,42,0 %,"21,43 %","0,00","2,6"
altura de valle sagrado,0,9,0,46,0 %,"19,57 %","0,00","1,0"
museo arte contemporaneo cusco,0,9,0,34,0 %,"26,47 %","0,00","2,0"
passeio vale sagrado cusco preço,0,9,0,48,0 %,"18,75 %","0,00","3,4"
comprar tickets a machu picchu,0,9,0,45,0 %,20 %,"0,00","2,3"
fiesta de la sierra peruana,0,9,0,46,0 %,"19,57 %","0,00","2,2"
parque de las leyendas horario de atencion,0,9,0,202,0 %,"4,46 %","0,00","6,4"
tours peru,0,9,0,513,0 %,"1,75 %","0,00",31
moeda peruana nome,0,9,0,137,0 %,"6,57 %","0,00","5,1"
mistura 2018,0,9,0,118,0 %,"7,63 %","0,00","6,6"
museo palacio arzobispal cusco,0,9,0,19,0 %,"47,37 %","0,00","2,7"
tour en machu picchu,0,9,0,23,0 %,"39,13 %","0,00","1,7"
cusco boleto turístico,0,9,0,15,0 %,60 %,"0,00","3,5"
ministerio de cultura de cusco,0,9,0,107,0 %,"8,41 %","0,00","8,5"
la montaña de 7 colores,0,9,0,1019,0 %,"0,88 %","0,00","8,5"
comprar entrada a machu picchu,0,9,0,204,0 %,"4,41 %","0,00","7,2"
tours valle sagrado,0,9,0,122,0 %,"7,38 %","0,00","4,9"
parque las leyendas horario,0,9,0,82,0 %,"10,98 %","0,00","5,8"
lineas de nazca,0,9,0,1126,0 %,"0,8 %","0,00",12
la historia de inti raymi,0,9,0,25,0 %,36 %,"0,00","1,6"
reserva nacional del titicaca,0,9,0,825,0 %,"1,09 %","0,00","6,7"
guias turisticos cusco,0,9,0,39,0 %,"23,08 %","0,00","3,1"
museo del inca cusco,0,9,0,91,0 %,"9,89 %","0,00","1,3"
tours machu pichu,0,9,0,39,0 %,"23,08 %","0,00","4,1"
recetas de postres cusqueños,0,9,0,44,0 %,"20,45 %","0,00","1,7"
museo municipal de arte contemporáneo cusco,0,9,0,40,0 %,"22,5 %","0,00","2,2"
maras cusco,0,9,0,836,0 %,"1,08 %","0,00","7,6"
lugares turisticos de cuzco,0,9,0,393,0 %,"2,29 %","0,00","5,3"
ollantaytambo sanctuary,0,9,0,159,0 %,"5,66 %","0,00","4,1"
excursiones a machu picchu,0,9,0,152,0 %,"5,92 %","0,00","6,3"
cual es el clima de la sierra,0,9,0,114,0 %,"7,89 %","0,00","4,3"
historia del inti raymi resumen,0,8,0,17,0 %,"47,06 %","0,00","2,5"
buses a cusco,0,8,0,155,0 %,"5,16 %","0,00","4,1"
tren a machupichu,0,8,0,210,0 %,"3,81 %","0,00","8,1"
valle sagrado de los incas ubicacion,0,8,0,22,0 %,"36,36 %","0,00","2,7"
museu inka,0,8,0,47,0 %,"17,02 %","0,00","1,0"
inca citadel,0,8,0,686,0 %,"1,17 %","0,00","4,5"
parque arqueologico de tipon cusco,0,8,0,19,0 %,"42,11 %","0,00","2,7"
paquetes turisticos cusco machu picchu,0,8,0,32,0 %,25 %,"0,00","2,0"
laguna de humantay,0,8,0,526,0 %,"1,52 %","0,00",10
reseña de la virgen del carmen,0,8,0,110,0 %,"7,27 %","0,00","7,9"
cusco peru - agencia de turismo cuscoperu.com cusco,0,8,0,16,0 %,50 %,"0,00","1,1"
tour valle sagrado precio,0,8,0,125,0 %,"6,4 %","0,00","6,5"
plazas en lima,0,8,0,30,0 %,"26,67 %","0,00","2,5"
inca museum,0,8,0,102,0 %,"7,84 %","0,00","3,1"
la descripcion de machu picchu,0,8,0,21,0 %,"38,1 %","0,00","1,0"
saqsaywaman cusco,0,8,0,117,0 %,"6,84 %","0,00","2,0"
paquetes machu picchu,0,8,0,110,0 %,"7,27 %","0,00","6,9"
los impuestos,0,8,0,336,0 %,"2,38 %","0,00",10
tren a machu picchu tarifas,0,8,0,418,0 %,"1,91 %","0,00","9,6"
visita machu picchu,0,8,0,110,0 %,"7,27 %","0,00","7,6"
onde comprar boleto turistico cusco,0,8,0,18,0 %,"44,44 %","0,00","2,2"
como llegar a megantoni,0,8,0,45,0 %,"17,78 %","0,00","2,6"
pachamama dia,0,8,0,147,0 %,"5,44 %","0,00","5,9"
como se le conoce a machu picchu,0,8,0,45,0 %,"17,78 %","0,00","2,3"
comprar boleto a machu picchu,0,8,0,66,0 %,"12,12 %","0,00","1,3"
passeio para machu picchu saindo de cusco,0,8,0,44,0 %,"18,18 %","0,00","3,6"
selva,0,8,0,4519,0 %,"0,18 %","0,00","9,4"
agencia de viajes cusco peru,0,8,0,95,0 %,"8,42 %","0,00","4,4"
principales tributos en el peru,0,8,0,16,0 %,50 %,"0,00","1,0"
machu picchu boletos,0,8,0,573,0 %,"1,4 %","0,00","5,9"
fiestas patronales de la sierra,0,8,0,430,0 %,"1,86 %","0,00",10
complejo arqueologico de moray,0,8,0,23,0 %,"34,78 %","0,00","3,2"
mistura lima 2018,0,8,0,41,0 %,"19,51 %","0,00","5,6"
donde comprar boletos para machu picchu,0,8,0,34,0 %,"23,53 %","0,00","1,6"
turismo en cuzco,0,8,0,253,0 %,"3,16 %","0,00","7,2"
vale sagrado dos incas,0,8,0,889,0 %,"0,9 %","0,00","9,6"
tour para machu picchu,0,8,0,46,0 %,"17,39 %","0,00","2,1"
tour vale sagrado,0,8,0,108,0 %,"7,41 %","0,00","4,6"
virgen del carmen cusco,0,8,0,91,0 %,"8,79 %","0,00","4,2"
tours laguna humantay,0,8,0,44,0 %,"18,18 %","0,00","5,8"
catedral de ica,0,8,0,237,0 %,"3,38 %","0,00","2,2"
centro cultural machu picchu,0,8,0,18,0 %,"44,44 %","0,00","1,3"
pikillacta,0,8,0,512,0 %,"1,56 %","0,00","6,5"
horario parque de las leyendas,0,8,0,590,0 %,"1,36 %","0,00","6,9"
iglesia de chinchero,0,8,0,73,0 %,"10,96 %","0,00","5,5"
tour por machu picchu,0,8,0,68,0 %,"11,76 %","0,00","2,4"
cusco events 2018,0,8,0,19,0 %,"42,11 %","0,00","1,2"
palacios de los incas,0,8,0,13,0 %,"61,54 %","0,00","1,0"
passeio vale sagrado preço,0,8,0,20,0 %,40 %,"0,00","2,9"
el clima de la sierra peruana,0,8,0,88,0 %,"9,09 %","0,00","4,0"
la fiesta del inti raymi,0,8,0,275,0 %,"2,91 %","0,00","7,6"
clima de la sierra de peru,0,8,0,138,0 %,"5,8 %","0,00","3,9"
la sierra clima,0,8,0,57,0 %,"14,04 %","0,00","3,6"
valle sagrado tour,0,8,0,436,0 %,"1,83 %","0,00","6,1"
ruinas de pisac,0,8,0,256,0 %,"3,12 %","0,00","6,2"
temperatura de la sierra peruana,0,8,0,17,0 %,"47,06 %","0,00","1,1"
guia turistico cusco,0,8,0,25,0 %,32 %,"0,00","1,5"
cuzco perú elevación,0,8,0,579,0 %,"1,38 %","0,00","5,1"
comprar entradas a machu picchu en lima,0,8,0,29,0 %,"27,59 %","0,00","1,6"
cusco peru news today,0,8,0,57,0 %,"14,04 %","0,00","3,1"
peru clima predominante,0,8,0,62,0 %,"12,9 %","0,00","3,7"
perurail o inca rail,0,8,0,103,0 %,"7,77 %","0,00","3,9"
entradas a machupicchu,0,8,0,272,0 %,"2,94 %","0,00","5,2"
boleto a machu picchu,0,8,0,275,0 %,"2,91 %","0,00","5,0"
donde comprar boleto a machu picchu,0,8,0,29,0 %,"27,59 %","0,00","2,7"
turismo vivencial cusco,0,8,0,17,0 %,"47,06 %","0,00","1,3"
altitud cuzco,0,8,0,253,0 %,"3,16 %","0,00","4,0"
corpus christi peru,0,8,0,112,0 %,"7,14 %","0,00","5,6"
moray cusco peru,0,7,0,147,0 %,"4,76 %","0,00","1,6"
el inti raymi para niños,0,7,0,12,0 %,"58,33 %","0,00","1,1"
entrada a machupichu,0,7,0,149,0 %,"4,7 %","0,00","5,8"
historia de la plaza de armas de ica,0,7,0,18,0 %,"38,89 %","0,00","1,5"
megantoni santuario nacional,0,7,0,85,0 %,"8,24 %","0,00","7,1"
que hacer en machu picchu peru,0,7,0,21,0 %,"33,33 %","0,00","4,0"
incan citadel,0,7,0,367,0 %,"1,91 %","0,00","5,1"
sun temple cusco,0,7,0,67,0 %,"10,45 %","0,00","1,5"
fiestas religiosas de la selva peruana,0,7,0,163,0 %,"4,29 %","0,00","7,2"
museos de ica,0,7,0,37,0 %,"18,92 %","0,00","3,0"
donde comprar boleto machu picchu,0,7,0,33,0 %,"21,21 %","0,00","2,5"
tours cusco precios,0,7,0,260,0 %,"2,69 %","0,00","7,4"
tours peru machu picchu,0,7,0,121,0 %,"5,79 %","0,00",42
lugares turisticos cuzco,0,7,0,132,0 %,"5,3 %","0,00","5,3"
iglesia de san francisco lima,0,7,0,284,0 %,"2,46 %","0,00","4,3"
sintomas del mal de altura en peru,0,7,0,13,0 %,"53,85 %","0,00","1,9"
arequipa datos,0,7,0,11,0 %,"63,64 %","0,00","1,5"
tour a machu picchu desde arequipa,0,7,0,13,0 %,"53,85 %","0,00","1,0"
turismo de aventura en cusco,0,7,0,56,0 %,"12,5 %","0,00","5,9"
zonas turisticas de cusco,0,7,0,127,0 %,"5,51 %","0,00","5,0"
ciudad de cuzco,0,7,0,466,0 %,"1,5 %","0,00","3,3"
turismo cuzco,0,7,0,106,0 %,"6,6 %","0,00","8,2"
museos en cuzco,0,7,0,54,0 %,"12,96 %","0,00","2,1"
museo koricancha,0,7,0,27,0 %,"25,93 %","0,00","1,0"
informacion de las lineas de nazca,0,7,0,24,0 %,"29,17 %","0,00","5,1"
iglesia la merced cusco horario,0,7,0,17,0 %,"41,18 %","0,00","1,6"
las lineas de nazca descripcion,0,7,0,22,0 %,"31,82 %","0,00","3,6"
laguna huacachina,0,7,0,733,0 %,"0,95 %","0,00","7,3"
saqsayhuaman,0,7,0,255,0 %,"2,75 %","0,00","3,5"
historia de la virgen de la candelaria resumen,0,7,0,15,0 %,"46,67 %","0,00","3,9"
ollantaytambo ruinas,0,7,0,341,0 %,"2,05 %","0,00","8,5"
cusco lugares turisticos mapa,0,7,0,89,0 %,"7,87 %","0,00","2,7"
impuestos en el perú,0,7,0,14,0 %,50 %,"0,00","1,0"
horario de parque de las leyendas,0,7,0,127,0 %,"5,51 %","0,00","6,5"
informacion de puno,0,7,0,82,0 %,"8,54 %","0,00","4,5"
descripcion de sacsayhuaman,0,7,0,23,0 %,"30,43 %","0,00","2,9"
south valley peru,0,7,0,21,0 %,"33,33 %","0,00","1,3"
ruinas ollantaytambo,0,7,0,272,0 %,"2,57 %","0,00","8,8"
kosñipata cusco,0,7,0,56,0 %,"12,5 %","0,00","1,9"
cusco peru economia,0,7,0,12,0 %,"58,33 %","0,00","1,0"
cusco eventos,0,7,0,26,0 %,"26,92 %","0,00","3,2"
la selva,0,7,0,509,0 %,"1,38 %","0,00",11
parque de la exposición,0,7,0,1241,0 %,"0,56 %","0,00","2,5"
museu machu picchu vale a pena,0,7,0,16,0 %,"43,75 %","0,00","1,9"
resumen del inti raymi para niños,0,7,0,14,0 %,50 %,"0,00","1,0"
museo de qorikancha,0,7,0,39,0 %,"17,95 %","0,00","1,1"
chinchero historia,0,7,0,20,0 %,35 %,"0,00","5,4"
mapa turistico cusco,0,7,0,144,0 %,"4,86 %","0,00","2,6"
señor de qoyllority historia,0,7,0,113,0 %,"6,19 %","0,00","4,4"
museos en el cusco,0,7,0,20,0 %,35 %,"0,00","1,1"
